name,cv_delta,cv_se,cv_z,ho_delta,ho_se,ho_z,verdict,min_z,source,cv_acc,ho_acc,pos_share_ho,theme,comb_z
RET1_X_SKIPMOM_2_5,-4.553889590946876e-05,0.0006054231927834,-0.0752182877238337,0.0001811594202898,0.0012236487363192,0.1480485493204458,noise,,screen_ordinary_part3.csv,0.5198578047975227,0.5231884057971015,0.5946632782719187,ordinary,0.07283026159661211
SIGN_RET1_X_SIGN_MOM_2_5,-0.0005436205699192,0.0005960340138102,-0.9120629986267328,0.0003623188405797,0.0012934189086128,0.2801248985669105,noise,,screen_ordinary_part3.csv,0.5193597231235129,0.5233695652173913,0.5914664891793228,ordinary,-0.6319381000598223
SIGN_RET1_X_VOL20,-0.0001081548777849,0.0006255178581206,-0.1729045404234216,-0.0001358695652173,0.0011795739865209,-0.1151852844925179,noise,,screen_ordinary_part3.csv,0.5197951888156471,0.5228713768115942,0.5897823763135072,ordinary,-0.2880898249159395
SIGN_RET1_X_VOLRATIO,-0.0003159260903719,0.0006137322410954,-0.5147620887702707,-0.0004189311594202,0.0012188850386743,-0.3437003048916995,noise,,screen_ordinary_part3.csv,0.5195874176030603,0.5225883152173914,0.5933926302414231,ordinary,-0.8584623936619702
STREAK_SIGNED,0.0005464667509136,0.0005933395285561,0.9210017614086792,-0.0002717391304347,0.001245471659831,-0.2181817051314025,noise,,screen_ordinary_part3.csv,0.5204498104443458,0.5227355072463769,0.5906294750005042,ordinary,0.7028200562772766
PREV_RUN_SIGNED,-0.0003899267962248,0.0006065099351415,-0.6429025703162465,-0.0006567028985507,0.0011817490235291,-0.5557042023945046,noise,,screen_ordinary_part3.csv,0.5195134168972073,0.5223505434782609,0.593765757044029,ordinary,-1.1986067727107512
N_SIGN_CHANGES_20,-7.684688684722835e-05,0.0005919947816305,-0.1298100747367525,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,,screen_ordinary_part3.csv,0.5198264968065849,0.5232110507246377,0.5913152215566447,ordinary,0.042384456640096824
N_SIGN_CHANGES_5,-0.0007798535924496,0.0006085167740156,-1.2815646597599717,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,,screen_ordinary_part3.csv,0.5191234901009825,0.5232110507246377,0.5913152215566447,ordinary,-1.1093701283831223
LONGEST_RUN_20,-0.0001565399546887,0.0006128816344387,-0.2554162923027607,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,,screen_ordinary_part3.csv,0.5197468037387434,0.5232110507246377,0.5913152215566447,ordinary,-0.08322176092591138
LONGEST_POS_RUN_20,-3.700035292644331e-05,0.0006056847149271,-0.0610884706425081,0.0007925724637681,0.0011810523586325,0.6710730967810431,noise,,screen_ordinary_part3.csv,0.5198663433405057,0.5237998188405797,0.5911841229503237,ordinary,0.609984626138535
LONGEST_NEG_RUN_20,0.0002874642804285,0.0005983868560606,0.4803987211901155,0.0003283514492753,0.0011644770783592,0.2819733040499227,noise,,screen_ordinary_part3.csv,0.5201908079738606,0.523335597826087,0.5919505455718924,ordinary,0.7623720252400382
N_RUNS_20,-7.684688684722835e-05,0.0005919947816305,-0.1298100747367525,0.000203804347826,0.0011835703851712,0.1721945313768493,noise,,screen_ordinary_part3.csv,0.5198264968065849,0.5232110507246377,0.5913152215566447,ordinary,0.042384456640096824
